,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
65,7NS,nan,JAGUAR,Puerto Gaitán,Meta,Aeródromo,4.2161,-72.0275,CEPCOLSA,CEPCOLSA,1200.0,23.0,nan,650.0," 4940,000",2012-09-06,2015-10-10,2B,Privado,980.0,50,50568
66,7NT,nan,OCELOTE,Puerto Gaitán,Meta,Aeródromo,4.2751,-71.6123,HOCOL S.A.,HOCOL S.A.,1200.0,20.0,nan,690.0," 5922,000",2012-10-19,nan,2B,Privado,1159.0,50,50568
69,9AB,nan,GETSEMANI,Hato Corozal,Casanare,Aeródromo,6.1506,-70.0294,MUNICIPIO,MUNICIPIO,800.0,14.0,2000.0,304.0," 2220,000",2004-06-10,nan,1A,Público,112.0,85,85125
71,9AD,nan,URACA - CA.,Puerto Colombia,Atlántico,Aeródromo,11.0062,-74.9224,NORA CARVAJALINO,ALAS DEL CARIBE,320.0,10.0,800.0,204.0," 5624,000",2013-10-11,2016-11-12,UL,Privado,nan,8,8573
73,9AH,nan,SAN ROQUE  - CA.,San Pedro,Valle del Cauca,Aeródromo,4.0039,-76.2209,IRMA HERNANDEZ DE M.,JAKOB OLIVIER,235.0,10.0,400.0,3366.0," 5622,000",2013-10-11,nan,UL,Privado,nan,76,76670
75,9AJ,nan,SAN LUIS DE PACA,Mitú,Vaupés,Aeródromo,0.8744,-70.3464,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,424.0,10.0,1650.0,590.0," 3423,000",1997-09-16,nan,1A,Público,78.0,97,97001
76,9AK,nan,CANANARI,Mitú,Vaupés,Aeródromo,0.545,-70.9286,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,420.0,20.0,1650.0,780.0," 3423,000",1997-09-16,nan,1A,Público,126.0,97,97001
79,9AN,nan,MARAREY,Orocué,Casanare,Aeródromo,4.8281,-71.0808,JULIAN VALENCIA I. Y OTROS,JULIAN VALENCIA I. Y OTROS,700.0,15.0,4800.0,498.0," 2001,000",2013-05-08,2016-05-09,1A,Privado,226.0,85,85230
80,9AO,nan,SANTA CLARA,Sabanalarga,Casanare,Aeródromo,4.4172,-72.7744,ARMANDO SANCHEZ M.,TAES LTDA.,800.0,10.0,2500.0,610.0," 2137,000",2013-05-16,nan,1A,Fumigación,23.0,85,85300
81,9AR,nan,SAN PABLO,Mitú,Vaupés,Aeródromo,-0.7831,-70.3228,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,510.0,10.0,1650.0,550.0," 3423,000",1997-09-16,nan,1A,Público,86.0,97,97001
83,9AT,nan,COROCITO,Puerto López,Meta,Aeródromo,3.9507,-72.2186,AGROINVERSIONES COROCITO,AGROINVERSIONES COROCITO,980.0,10.0,3000.0,544.0," 1838,000",2013-04-26,nan,1A,Privado,7.0,50,50573
84,9AU,nan,LAS FURIAS,Nunchía,Casanare,Aeródromo,5.4039,-72.1228,MAURICIO CALA PEREZ,SFA LTDA.,800.0,10.0,2000.0,688.0," 5611,000",2012-10-04,2015-10-09,1A,Fumigación,nan,85,85225
85,9AV,nan,EL NOGAL,Villavicencio,Meta,Aeródromo,3.9883,-73.2994,GLORIA L.TIUSO,AEROTEC LTDA.,610.0,10.0,2000.0,817.0," 4739,000",2012-08-29,nan,1A,Fumigación,nan,50,50001
86,9AX,nan,SANTA CRUZ,Puerto López,Meta,Aeródromo,4.1318,-73.1814,JULIO STRAUCH D.,COMERCIALIZADORA ECO,650.0,10.0,2000.0,659.0," 2685,000",2011-05-25,nan,1A,Fumigación,nan,50,50573
88,9BA,nan,CURUMANI,Curumaní,Cesar,Aeródromo,9.2222,-73.5722,MUNICIPIO,FADELCE,900.0,23.0,2000.0,164.0," 2989,000",2008-07-02,nan,2A,Fumigación,nan,20,20228
89,9BB,nan,SAN MIGUEL,Puerto López,Meta,Aeródromo,4.1069,-72.89,ELIZABETH CRUZ BULLA,SAAC S.A.S,670.0,10.0,2000.0,803.0,"  251,000",2012-02-01,2015-02-09,1A,Fumigación,105.0,50,50573
90,9BC,nan,CANTADELICIAS,Alpujarra,Tolima,Aeródromo,3.3873,-74.9338,MUNICIPIO,MUNICIPIO,700.0,15.0,12200.0,4213.0," 4541,000",2005-10-13,nan,1A,Público,nan,73,73024
92,9BE,nan,LAS VEGAS,Paz de Ariporo,Casanare,Aeródromo,6.0072,-71.2842,ALEIDA JERONIMO NAVAS,ALEIDA JERONIMO NAVAS,740.0,15.0,3500.0,430.0," 1657,000",2012-04-03,nan,1A,Privado,15.0,85,85250
93,9BF,nan,LA FRANCIA,El Paso,Cesar,Aeródromo,9.6394,-73.5282,SOCIEDAD COLOMBIAN NATURAL RESOURCES,EL MISMO,1100.0,18.0,nan,213.0,"  962,000",2011-03-02,nan,1B,Privado,149.0,20,20250
96,9BI,nan,SAN FELIPE,Orocué,Casanare,Aeródromo,5.1037,-71.8425,MARIA LUCILA REYES ORDOÑEZ,MARIA LUCILA REYES O.,700.0,14.0,2000.0,554.0,"  800,000",2010-02-18,nan,1A,Privado,10.0,85,85230
97,9BK,nan,JULIAN,Cabuyaro,Meta,Aeródromo,4.2711,-72.9869,HERNANDO JIMENEZ,ASAM LTDA,800.0,10.0,2500.0,735.0," 3181,000",2009-06-24,2012-07-06,1A,Fumigación,nan,50,50124
98,9BL,nan,LOS HALCONES,Bugalagrande,Valle del Cauca,Aeródromo,3.9178,-76.3206,DIEGO TORRES NUÑEZ,DIEGO TORRES NUÑEZ,350.0,10.0,500.0,3232.0," 6678,000",2012-11-22,2016-01-04,1A,Privado,10.0,76,76113
99,9BN,nan,EL SOÑADOR,Aguazul,Casanare,Aeródromo,5.2299,-72.4528,GLORIA M. ALVIRA R.,CELTA LTDA.,700.0,14.0,2000.0,865.0,"  304,000",2010-01-27,2013-02-09,1A,Fumigación,nan,85,85010
101,9BP,nan,EL CONCHAL - CA,El Cerrito,Valle del Cauca,Aeródromo,3.7273,-76.3902,ARMANDO ARAGON NAVIA,ARMANDO ARAGON NAVIA,200.0,10.0,400.0,3139.0,"  326,000",2013-02-07,2016-04-01,1A,Privado,nan,76,76248
102,9BR,nan,SEVILLA,Hato Corozal,Casanare,Aeródromo,5.9234,-71.7139,HELI CALA LOPEZ,HELI CALA LOPEZ,700.0,15.0,3000.0,682.0," 4729,000",2013-09-06,nan,1A,Privado,nan,85,85125
104,9BT,nan,ASA SAN MARTIN,Riohacha,La Guajira,Aeródromo,11.2889,-73.1756,ASA S EN C,ASA S. EN C.,830.0,15.0,4500.0,49.0," 5612,000",2012-10-04,nan,1A,Fumigación,nan,44,44001
105,9BW,nan,LA FAZENDA,Puerto López,Meta,Aeródromo,4.3263,-72.2208,ALIAR S.A.,ALIAR S.A.,1200.0,12.0,5000.0,568.0," 1941,000",2013-05-03,2016-05-07,2B,Fumigación,42.0,50,50573
106,9BX,nan,LA ESTRELLA-CA.,San Martín,Meta,Aeródromo,3.4802,-73.3276,CLUB LA LIBELULA,CLUB LA LIBELULA,300.0,75.0,500.0,787.0,"  679,000",2011-02-15,nan,UL,Privado,nan,50,50689
109,9CA,nan,LAS AGUILAS -CA,Yumbo,Valle del Cauca,Aeródromo,3.5134,-76.4931,SERESTEL S.A.,CLUB DEPORT.LAS AGUILAS,320.0,10.0,500.0,3100.0," 4939,000",2012-09-06,nan,1A,Privado,nan,76,76892
110,9CB,nan,CAMARUCOS,Paz de Ariporo,Casanare,Aeródromo,5.8754,-70.6583,ALCALDIA,ALCALDIA,1200.0,15.0,2000.0,367.0," 4541,000",2006-10-27,2016-11-07,1A,Público,5.0,85,85250
111,9CC,nan,EL TOTUMO,Paz de Ariporo,Casanare,Aeródromo,5.9387,-71.2217,MUNICIPIO,MUNICIPIO,520.0,15.0,2000.0,476.0," 4541,000",2006-10-27,2016-11-07,1A,Público,8.0,85,85250
112,9CD,nan,VARSOVIA,Paz de Ariporo,Casanare,Aeródromo,5.849,-70.3648,MUNICIPIO,MUNICIPIO,550.0,15.0,2000.0,328.0," 4541,000",2006-10-27,2016-11-07,1A,Público,47.0,85,85250
113,9CE,nan,LA HERMOSA,Paz de Ariporo,Casanare,Aeródromo,5.5307,-70.4497,MUNICIPIO,MUNICIPIO,884.0,15.0,2000.0,338.0," 4541,000",2006-10-27,2016-11-07,1A,Público,119.0,85,85250
114,9CF,nan,SAN ESTEBAN,Paz de Ariporo,Casanare,Aeródromo,5.4441,-70.8352,MUNICIPIO,MUNICIPIO,580.0,15.0,2000.0,377.0," 4541,000",2006-10-27,2016-11-07,1A,Público,5.0,85,85250
115,9CG,nan,SAN JOSE DEL ARIPORO,Paz de Ariporo,Casanare,Aeródromo,6.0475,-70.0128,MUNICIPIO,MUNICIPIO,570.0,15.0,2000.0,318.0," 4541,000",2006-10-27,2016-11-07,1A,Público,146.0,85,85250
116,9CH,nan,COLINERAS,Paz de Ariporo,Casanare,Aeródromo,6.0713,-70.3678,MUNICIPIO,MUNICIPIO,410.0,15.0,2000.0,338.0," 4541,000",2006-10-27,2016-11-07,1A,Público,1.0,85,85250
117,9CI,nan,LA CAIMANA,Paz de Ariporo,Casanare,Aeródromo,6.052,-70.8134,MUNICIPIO,MUNICIPIO,615.0,15.0,2000.0,400.0," 4541,000",2006-10-27,2016-11-07,1A,Público,11.0,85,85250
118,9CJ,nan,EMAUS,San Luis de Palenque,Casanare,Aeródromo,5.1483,-71.0453,LUIS F. CASTILLO SANTOS,LUIS F. CASTILLO SANTOS,740.0,10.0,2500.0,430.0," 1945,000",2013-05-03,nan,1A,Privado,41.0,85,85325
119,9CK,nan,SANTA MARIA DEL CAFÉ,Hato Corozal,Casanare,Aeródromo,6.1111,-70.9888,MUNICIPIO,EL MISMO,510.0,15.0,2000.0,427.0," 4543,000",2006-10-27,nan,1A,Público,nan,85,85125
120,9CL,nan,LA VENTUROSA,San Luis de Palenque,Casanare,Aeródromo,5.2388,-71.3035,MUNICIPIO,EL MISMO,620.0,15.0,2000.0,459.0," 4542,000",2006-10-27,nan,1A,Público,1.0,85,85325
121,9CM,nan,MIRAMAR DE GUANAPALO,San Luis de Palenque,Casanare,Aeródromo,5.0541,-71.0012,MUNICIPIO,EL MISMO,425.0,15.0,2000.0,394.0," 4542,000",2006-10-27,nan,1A,Público,1.0,85,85325
122,9CP,nan,LA SALVACION,Paz de Ariporo,Casanare,Aeródromo,5.9988,-70.6316,ALCALDIA,ALCALDIA,700.0,15.0,2000.0,384.0," 4807,000",2006-11-14,nan,1A,Público,nan,85,85250
123,9CQ,nan,LOMA GRANDE - CA,Ayapel,Córdoba,Aeródromo,8.2937,-75.1176,O.V. OROZCO Y CIA. S.C.A.,EL MISMO,350.0,10.0,400.0,1280.0," 3341,000",2010-06-30,nan,UL,Privado,nan,23,23068
124,9CR,nan,EL CAPRICHO,Puerto Gaitán,Meta,Aeródromo,4.2018,-72.1632,JORGE E. SALAZAR B.,EL MISMO,700.0,18.0,4500.0,551.0,"  329,000",2013-02-07,2016-04-05,1A,Privado,1.0,50,50568
125,9CU,nan,COROCORA,Trinidad,Casanare,Aeródromo,5.3751,-70.969,DORA AVELLA VDA.DE PAN,PERENCO COLOMBIA LIMITED,740.0,18.0,5000.0,430.0," 1000,000",2012-03-01,nan,1A,Privado,2486.0,85,85430
128,9CZ,nan,GRISMANIA,Aguazul,Casanare,Aeródromo,4.989,-72.5099,LUZ MARINA VARGAS,SFA LTDA.,900.0,10.0,2000.0,669.0," 6670,000",2010-12-07,nan,1A,Fumigación,1.0,85,85010
130,9DB,nan,PALMAS DE TUMACO  -CA,San Andrés de Tumaco,Nariño,Aeródromo,1.496,-78.765,PALMAS DE TUMACO S.A.,PALMAS DE TUMACO S.A.,225.0,10.0,500.0,136.0," 1897,000",2011-04-11,2014-06-08,UL,Privado,1.0,52,52835
131,9DC,nan,INGENIO LA CARMELITA,Riofrío,Valle del Cauca,Aeródromo,4.0727,-76.316,SOCIEDAD GARRIDO,ING. LA CARMELITA,300.0,10.0,500.0,3087.0," 2961,000",2013-06-20,2015-08-05,1A,Fumigación,nan,76,76616
134,9DG,nan,EL LAGO - CA,Piedras,Tolima,Aeródromo,4.5575,-74.9003,BERNEY RODRIGUEZ,OSMANI RODRIGUEZ CARDOZO,350.0,10.0,500.0,1050.0," 6744,000",2010-12-13,nan,UL,Privado,nan,73,73547
135,9DH,nan,HACIENDA LA JOYA,Córdoba,Bolívar,Aeródromo,9.6179,-74.8367,TRIPENTA S.A.,AGROTEMPO LTDA.,720.0,10.0,2000.0,82.0,"    9,000",2013-01-03,2016-01-09,1A,Privado,nan,13,13212
136,9DI,nan,SAN FELIPE,San Felipe,Guainía,Aeródromo,1.915,-67.0776,GOBERNACION,GOBERNACION,1100.0,22.0,25000.0,312.0,"  545,000",2008-02-13,nan,1A,Público,89.0,94,94883
139,9DL,nan,LA PASTORA,Arauca,Arauca,Aeródromo,6.798,-70.9777,SAO E.U,SAO E.U.,740.0,10.0,2000.0,600.0," 2139,000",2013-05-16,nan,1A,Fumigación,nan,81,81001
142,9DO,nan,TALANQUERA,Puerto López,Meta,Aeródromo,4.141,-73.032,FERNANDO TOVAR TAMAYO,COMERCIALIZADORA ECO,740.0,10.0,2000.0,179.0," 6016,000",2012-10-23,nan,1A,Fumigación,nan,50,50573
145,9LG,nan,VILLA GEORGINA,Tauramena,Casanare,Aeródromo,4.3625,-74.3214,SANTIAGO PULIDO NIÑO,COMERCIALIZAD. ECO,710.0,10.0,2000.0,594.0,nan,2012-10-16,nan,1A,Fumigación,nan,85,85410
146,9LH,nan,INGENIO PICHICHI,Guacarí,Valle del Cauca,Aeródromo,3.5347,-76.1653,INGENIO PICHICHI S.A.,INGENIO PICHICHI,340.0,10.0,500.0,3215.0," 2951,000",2013-06-20,2015-08-05,1A,Fumigación,nan,76,76318
147,9LI,nan,SAN SEBASTIAN,Cabuyaro,Meta,Aeródromo,4.3356,-72.7803,NELLY ZARATE,AEROTEC LTDA.,740.0,10.0,2000.0,680.0," 4738,000",2012-08-20,nan,1A,Fumigación,30.0,50,50124
148,9LJ,nan,EL COROZO,Arauca,Arauca,Aeródromo,6.9136,-70.8562,NEBIO ECHEVERRY,FUMIVILLA,750.0,10.0,2000.0,416.0," 2141,000",2013-05-16,nan,1A,Fumigación,nan,81,81001
149,9LK,nan,HATO VIEJO,Arauca,Arauca,Aeródromo,6.8964,-70.7791,COMERCIALIZADORA EL PROVEEDOR LTDA.,FUMIVILLA,750.0,10.0,2000.0,416.0," 2141,000",2013-05-16,nan,1A,Fumigación,nan,81,81001
152,9LN,nan,GUADUALITO,Nunchía,Casanare,Aeródromo,5.4593,-71.912,CUPERTINO CUEVAS D.,SANAR S.A.,700.0,10.0,3000.0,639.0," 4943,000",2012-09-06,nan,1A,Fumigación,nan,85,85225
153,9LP,nan,LA REDENCION,Pore,Casanare,Aeródromo,5.6618,-71.8088,MARIA DEL S. MONTOYA,FRANCISCO H. MARTINEZ,750.0,10.0,2000.0,636.0," 3053,000",2013-06-26,nan,1A,Privado,nan,85,85263
154,9LQ,nan,LA PONDEROSA,Puerto Gaitán,Meta,Aeródromo,4.6316,-71.2141,MONICA COLOMBIA LTDA.,MONICA COLOMBIA LTDA,1200.0,18.0,3000.0,537.0," 5243,000",2012-09-19,nan,2A,Privado,25.0,50,50568
155,9LR,nan,LOS REMANSOS,Cimitarra,Santander,Aeródromo,6.5729,-74.2195,NELLY VALENCIA,AEROPENORT LTDA.,700.0,10.0,3000.0,357.0," 4373,000",2009-08-21,2012-10-08,1A,Fumigación,nan,68,68190
156,9LS,nan,SAN LUIS,La Esperanza,Norte de Santander,Aeródromo,7.6382,-73.4381,CRIAGAN S.A.,AEROPENORT LTDA.,770.0,10.0,2000.0,308.0," 7389,000",2012-12-28,2016-02-12,1A,Fumigación,nan,54,54385
157,9LT,nan,LOS GAVANES (LA MATA),Arauca,Arauca,Aeródromo,7.0093,-70.7743,FUMIGAR,FUMIVILLA,760.0,12.0,3000.0,416.0," 2141,000",2013-05-16,nan,1A,Fumigación,nan,81,81001
158,9LU,nan,EL RODEO,Tauramena,Casanare,Aeródromo,4.5772,-72.6914,JEREMIAS VACA RIAÑO,ASAM LTDA.,800.0,10.0,2000.0,746.0," 6069,000",2012-10-25,nan,1A,Fumigación,nan,85,85410
159,9LW,nan,EL PALMAR,Nunchía,Casanare,Aeródromo,5.396,-71.9116,MAURICIO MEDINA NIÑO,FIBA S.A.,700.0,10.0,3000.0,629.0,"  472,000",2013-02-13,nan,1A,Fumigación,5.0,85,85225
160,9LX,nan,LA GAITANA,Cabuyaro,Meta,Aeródromo,4.2253,-73.0298,P.VICENTE PERALES,FACOL LTDA.,800.0,10.0,4500.0,627.0," 1844,000",2013-04-26,nan,1A,Fumigación,nan,50,50124
161,9LY,nan,SAN ISIDRO II,Cumaral,Meta,Aeródromo,4.1585,-73.3408,MARIA A PACHE OCHOA,MARIA A. PACHECO O.,890.0,10.0,2000.0,175.0," 4730,000",2013-09-06,nan,1A,Fumigación,nan,50,50226
165,9MA,nan,EL DELIRIO,Arauca,Arauca,Aeródromo,6.9831,-70.882,CARMEN A. CABEZAS PEREZ,FUMIVILLA,800.0,10.0,3000.0,430.0," 5180,000",2011-09-20,2014-10-11,1A,Fumigación,nan,81,81001
167,9MC,nan,LA MONICA,Tauramena,Casanare,Aeródromo,4.6856,-72.6005,MAURICIO TORRES CUBIDES,ASAM LTDA.,840.0,10.0,2000.0,554.0," 4896,000",2011-09-06,nan,1A,Fumigación,nan,85,85410
168,9MD,nan,LA ABEJITA,Monterrey,Casanare,Aeródromo,5.0095,-72.3234,JOSE A. VARGAS P.,AGIL LTDA.,840.0,10.0,2000.0,682.0," 5479,000",2011-09-30,2014-11-09,1A,Fumigación,nan,85,85162
169,9ME,nan,CACHIMBALITO - CA,Santander de Quilichao,Cauca,Aeródromo,3.1653,-76.4738,INCAUCA,INCAUCA.S.A. - ASOCAÑA,250.0,10.0,500.0,3241.0," 2956,000",2013-06-20,2015-08-05,1A,Fumigación,nan,19,19698
170,9MG,nan,MADREVIEJA,Nunchía,Casanare,Aeródromo,5.4623,-71.9584,CELMIRA BARRAGAN F.,CELMIRA BARRAGAN F.,1000.0,10.0,2000.0,640.0," 4509,000",2012-08-16,nan,1A,Fumigación,nan,85,85225
171,9MH,nan,SAN JUAN,San Martín,Meta,Aeródromo,3.7017,-73.3774,RODOLFO MENDEZ,MARIA A. PACHECO O.,740.0,10.0,2000.0,870.0," 1840,000",2013-04-26,2016-05-03,1A,Fumigación,nan,50,50689
172,9MI,nan,LA FORTUNA,Puerto López,Meta,Aeródromo,4.1028,-72.978,SAAC S.A.S,SAAC S.A.S,780.0,15.0,3000.0,690.0,nan,2012-04-03,2012-07-03,1A,Fumigación,nan,50,50573
173,9MJ,nan,AGROFORESTAL MATA AZUL,Santa Rosalía,Vichada,Aeródromo,5.2897,-70.6337,nan,RIOPAILA CASTILLA S.A.,1200.0,20.0,6500.0,118.0," 1478,000",2012-03-23,nan,1A,Privado,nan,99,99624
174,9MK,nan,VILLA ISABELLA,Trinidad,Casanare,Aeródromo,5.2993,-71.3434,RAFAEL QUESADA,TAES LTDA.,800.0,10.0,2000.0,620.0," 4313,000",2012-08-08,nan,1A,Fumigación,nan,85,85430
175,9ML,nan,MIRADOR,Trinidad,Casanare,Aeródromo,5.4326,-71.6009,ANGELICA VEGA,TAES LTDA.,790.0,10.0,2000.0,620.0," 4314,000",2012-08-08,nan,1A,Fumigación,nan,85,85430
176,9MM,nan,EL CARIBE,Paz de Ariporo,Casanare,Aeródromo,5.7198,-71.4963,REGULO GAMA OJEDA,FARO LTDA.,800.0,10.0,2000.0,585.0," 1684,000",2013-04-18,2016-05-03,1A,Fumigación,nan,85,85250
177,9MN,nan,EL PEDRAL BONANZA,Puerto Wilches,Santander,Aeródromo,7.2417,-73.8151,nan,AEROPENORT LTDA.,800.0,10.0,3000.0,282.0,nan,2012-05-07,2012-08-07,1A,Fumigación,nan,68,68575
